text,dominant_distortion,secondary_distortion
Nothing ever goes right for me.,Overgeneralization,
"I didn't finish the list, so I'm lazy, because I feel so unproductive and heavy.",All-or-Nothing Thinking,Emotional Reasoning
"I have a nice house, but the roof leaks, so it's a total dump.",Mental Filter,All-or-Nothing Thinking
This traffic is the end of the world.,Magnification or Minimization,
People should be polite.,Should Statements,
"This line is torture, because I feel so impatient I could scream.",Magnification or Minimization,Emotional Reasoning
"I feel bored, so this is pointless, and life is always dull.",Emotional Reasoning,Overgeneralization
"People should be on time, and his lateness is a huge insult.",Should Statements,Magnification or Minimization
"If I go to the party, nobody will talk to me, because I'm always the wallflower.",Jumping to Conclusions,Overgeneralization
"I look okay, but my nose is too big, so I'm hideous.",Mental Filter,
"I look thin in this picture, but it's just the angle.",Disqualifying the Positive,
I gained an ounce; I'm a whale.,Magnification or Minimization,
"I won the raffle, but it was just dumb luck.",Disqualifying the Positive,
"I feel hopeless, so my future is dead.",Emotional Reasoning,
I forgot the milk; I'm losing my mind.,Magnification or Minimization,
"I am a burden, so they are better off without me, and I know they think so.",Labeling,Jumping to Conclusions
"I look strong, but I have a belly, so I look fat.",Mental Filter,
"I am a coward, and I always run away from my problems.",Labeling,Overgeneralization
"She rejected me, so nobody wants me, because I feel so unlovable right now.",Overgeneralization,Emotional Reasoning
I am exhausted after dealing with that difficult client all day.,No Distortion,
"My day was good, but I hit traffic, so today was a total waste.",Mental Filter,All-or-Nothing Thinking
"If the meal isn't gourmet, it's inedible garbage, because that one burnt edge ruins it.",All-or-Nothing Thinking,Mental Filter
"I fixed the sink, but it was an easy fix, so I'm not really handy.",Disqualifying the Positive,
"I saved money, but not enough, so I'm poor, and I'll end up homeless.",Disqualifying the Positive,Jumping to Conclusions
"I saved money, but not enough, so I'm poor, and my savings are a joke.",Disqualifying the Positive,Magnification or Minimization
I am weak.,Labeling,
"I got a C; I'll never graduate, and I'm wasting my parents' tuition money.",Magnification or Minimization,Personalization
"I tripped; everyone hates me, because I feel so mortified.",Magnification or Minimization,Emotional Reasoning
"I fixed the door, but it's still squeaky.",Disqualifying the Positive,
"I fixed the sink, but it was an easy fix.",Disqualifying the Positive,
"I feel angry, so you are unfair, and your apology is fake.",Emotional Reasoning,Disqualifying the Positive
I'll never own a home.,Jumping to Conclusions,
"Every time I wash my car, it rains.",Overgeneralization,
"I didn't finish the entire checklist, so I had a completely unproductive day.",All-or-Nothing Thinking,
"I am a slob, so I'll never have a nice home.",Labeling,Jumping to Conclusions
"I feel rejected, so I am worthless.",Emotional Reasoning,
"I got a bonus, but they taxed it heavily, so it's practically nothing.",Mental Filter,
"I lost $5; I'm going bankrupt, and I'm destroying my family's future.",Magnification or Minimization,Personalization
"The party was fun, but I felt awkward, so I humiliated myself, and they won't invite me back.",Mental Filter,Jumping to Conclusions
I never get a break.,Overgeneralization,
I should not feel sad.,Should Statements,
"I feel a pain; it's definitely cancer, and I always have the worst luck with health.",Jumping to Conclusions,Overgeneralization
"I gained a pound; I'm obese, and I'm ignoring my overall health.",Magnification or Minimization,Mental Filter
"I am a slob, because of this one pile, ignoring the clean room.",Labeling,Mental Filter
I'm feeling really weary after dealing with insurance claims all day.,No Distortion,
"I passed the test, but I missed the last question, so I'm stupid.",Mental Filter,
My husband is sad; I upset him.,Personalization,
"The boss called me in, so I'm fired, and I'll be homeless by next week.",Jumping to Conclusions,Magnification or Minimization
I am a failure.,Labeling,
I have a bruise; I'm battered.,Magnification or Minimization,
Men never listen to me.,Overgeneralization,
She didn't smile at me; people are always rude to me.,Overgeneralization,
"I feel a bit envious of her promotion, but I know she worked hard.",No Distortion,
"I feel ashamed, so I am worthless.",Emotional Reasoning,
I feel hesitant to trust him again after what happened last time.,No Distortion,
"They clapped, but they pitied me, and I made them feel awkward.",Disqualifying the Positive,Personalization
"The project failed; I take full responsibility, and I should have worked harder.",Personalization,Should Statements
I feel uneasy about the dark clouds gathering on the horizon.,No Distortion,
"I feel ugly, so I am hideous and no one will look at me.",Emotional Reasoning,All-or-Nothing Thinking
The boss is frowning; he's going to demote me.,Jumping to Conclusions,
I got a B; I'm failing at life.,Magnification or Minimization,
I always drop my toast butter-side down.,Overgeneralization,
"I feel hopeless, so I am doomed.",Emotional Reasoning,
I ought to call my mother more.,Should Statements,
"He hasn't called, so he hates me, because I feel so anxious waiting for him.",Jumping to Conclusions,Emotional Reasoning
I spilled ink on the page; the whole notebook is ruined.,Magnification or Minimization,
"I saved money, but not enough, so I'm poor, and I ought to save more.",Disqualifying the Positive,Should Statements
"All men are liars, and I must attract deceitful people.",Overgeneralization,Personalization
"She said I'm smart, but she's just being nice, and people always lie to make me feel better.",Disqualifying the Positive,Overgeneralization
"I am a bad mother, and I'm the reason my kids are acting out.",Labeling,Personalization
I am weak.,Labeling,
I am fuming that they charged me for a service I cancelled.,No Distortion,
"I should be perfect, and since I'm not, I'm disappointing everyone.",Should Statements,Personalization
"I feel bored, so life is dull, and the fun trip last week doesn't count.",Emotional Reasoning,Disqualifying the Positive
"I see a scratch, so the car is junk, and I'm careless.",Mental Filter,Labeling
"The trip was fun, but the flight was long, so it was miserable.",Mental Filter,
"She's looking away, so she's bored, and I'm a bore.",Jumping to Conclusions,Labeling
I'll never find a partner.,Jumping to Conclusions,
"I got a promotion, but my office is smaller, so I hate the new job.",Mental Filter,
"I got the scholarship, but they had low standards this year.",Disqualifying the Positive,
The deal fell through; I must have said something wrong.,Personalization,
It's total victory or absolute defeat.,All-or-Nothing Thinking,
I am a pig.,Labeling,
It's exasperating when the bus drives past without stopping.,No Distortion,
"She said I'm smart, but she's just being nice, so I'm actually dumb.",Disqualifying the Positive,Labeling
"If I don't get this promotion, I'm a failure, and I should have worked harder.",All-or-Nothing Thinking,Should Statements
I'm anxious about the presentation tomorrow because public speaking scares me.,No Distortion,
Waiting for this email is torture.,Magnification or Minimization,
I should have saved more money.,Should Statements,
"I should not be sad, and my tears make me weak, so I must stop crying.",Should Statements,Labeling
"I am a loser, because I lost the game, and I'm fixated on the score.",Labeling,Mental Filter
I should have saved.,Should Statements,
"I passed the test, but I missed one point, so I'm stupid, and I disappointed my parents.",Mental Filter,Personalization
My stomach hurts; it's appendicitis.,Jumping to Conclusions,
Everyone always ignores my texts.,Overgeneralization,
I made a typo; I am completely unprofessional.,Magnification or Minimization,All-or-Nothing Thinking
"I look okay, but I have a pimple, so I'm ugly, and I look like a monster.",Mental Filter,Magnification or Minimization
"Every time I wear white, I spill coffee on myself.",Overgeneralization,
"The team lost; I played badly, because I feel like I let everyone down.",Personalization,Emotional Reasoning
I got a C; I'm a dropout.,Magnification or Minimization,
"I won't get the loan, so why try, I'm completely financially ruined.",Jumping to Conclusions,Magnification or Minimization
"I have a headache; it's a tumor, and I should have gone to the doctor sooner.",Jumping to Conclusions,Should Statements
I have a pimple on my chin; I look like a monster.,Magnification or Minimization,
I am a loser.,Labeling,
"I got the job, but they were desperate, and I should have earned it.",Disqualifying the Positive,Should Statements
"I got the promotion, but they were desperate to fill the role.",Disqualifying the Positive,
I must always be kind.,Should Statements,
I am incensed that they towed my car without warning.,No Distortion,
I always choose the wrong queue at the store.,Overgeneralization,
I just know I'm going to have a panic attack at the party.,Jumping to Conclusions,
"I see a scratch, so the car is junk, and the engine is probably going to explode soon.",Mental Filter,Jumping to Conclusions
I feel wary of these new diet pills my friend is taking.,No Distortion,
I must never be weak.,Should Statements,
I must always be available.,Should Statements,
"I should not be sad; if I'm sad, I'm weak.",Should Statements,All-or-Nothing Thinking
Nobody ever invites me anywhere.,Overgeneralization,
